New Mexico,0,0,0,0,0,0,61547,93514,91874,143963,160282,195310,0,360350,423317,531818,687000,958000,1016000,1302894,1515069,1819046,2059179,2096829
New York,340120,586050,959049,1372812,1918608,2428921,3097394,3880735,4382759,5082871,6003174,7268894,9113614,10385227,12588066,13479142,14830192,16827000,18241266,17558072,17990455,18976457,19378102,19453563
North Carolina,393751,478103,556526,638829,737987,753419,869039,992622,1071361,1512565,1617949,1893810,2206287,2559123,3170276,3571623,4060000,4563000,5082059,5881766,6628637,8049313,9535483,10488088
North Dakota,0,0,0,0,0,0,0,0,2405,39159,190983,319146,577056,646872,680845,641935,616000,634000,617761,652717,638800,642200,672591,762062
Ohio,0,0,230760,581434,937903,1519467,1980329,2339511,2665260,3198062,3672329,4157545,4767121,5759394,6646697,6907612,7946627,9739000,10652017,10797630,10847115,11353140,11536504,11689106
Oklahoma,0,0,0,0,0,0,0,0,0,0,258657,790391,1657155,2028283,2396040,2336434,2193000,2333000,2559253,3025290,3145585,3450654,3751351,3956971
Oregon,0,0,0,0,0,0,12093,52465,90923,194327,317704,413536,672765,783389,953786,1089684,1532000,1773000,2091385,2633105,2842321,3421399,3831074,4217737
Pennsylvania,434373,602545,810091,1049458,1348233,1724033,2311786,2906215,3521951,4282891,5258113,6302115,7665111,8720017,9631350,9900180,10498012,11343000,11793909,11863895,11881643,12281054,12702379,12801984
Rhode Island,68825,69122,76931,83059,97199,108830,147545,174620,217353,332286,345506,428556,542610,604397,687497,713346,779000,857000,949723,947154,1003464,1048319,1052567,1059361
South Carolina,249073,345591,415115,502741,581185,594398,668507,703708,705606,939946,1151149,1340316,1515400,1683724,1738765,1899804,2119000,2392000,2590516,3121820,3486703,4012012,4625364,5148714
South Dakota,0,0,0,0,0,0,0,0,11776,119565,348600,401570,583888,636547,692849,642961,652000,682000,666257,690768,696004,754844,814180,884659
Tennessee,0,0,261727,422813,681904,829210,1002717,1109801,1258520,1636937,1767518,2020616,2184789,2337885,2616556,2915841,3304000,3573000,3924164,4591120,4877185,5689283,6346105,6833174
Texas,0,0,0,0,0,0,212592,604215,818579,1131597,2235527,3048710,3896542,4663228,5824715,6414824,7748000,9617000,11196730,14229191,16986510,20851820,25145561,28995881
Utah,0,0,0,0,0,0,11380,40273,86336,146608,210779,276749,373351,449396,507847,550310,696000,896000,1059273,1461037,1722850,2233169,2763885,3205958
Vermont,85539,154465,217713,235764,280652,291948,314120,315098,330551,346991,332422,343641,355956,352428,359611,359231,377000,391000,444732,511456,562758,608827,625741,623989
Virginia,747610,880200,877683,938261,1044054,1025227,1119348,1596318,1225163,1542180,1655980,1854184,2061612,2309187,2421851,2677773,3262000,3978000,4648494,5346818,6187358,7078515,8001024,8535519
Washington,0,0,0,0,0,0,1201,11594,23955,98268,357232,518103,1141990,1356621,1563396,1736191,2386000,2860000,3409169,4132156,4866692,5894121,6724540,7614893
West Virginia,0,0,105469,136808,176924,224537,302313,0,442014,648936,762794,958800,1221119,1463701,1729205,1961974,2006000,1857000,1744237,1949644,1793477,1808344,1852994,1787147
Wisconsin,0,0,0,1444,3635,30945,305391,775881,1054670,1399750,1693330,2069042,2333860,2632067,2939006,3137587,3449000,3964000,4417933,4705767,4891769,5363675,5686986,5822434
Wyoming,0,0,0,0,0,0,0,0,9118,32610,60705,92531,145965,194402,225565,250742,292000,338000,332416,469557,453588,493782,563626,578759
